queue_id,source_pack,source_row_id,activity_id,post_url,title,theme,prior_status,logged_in_capture_status,comments_status,stop_condition
LI-LOGIN-020,first_ingest,20,7416750932140552192,https://www.linkedin.com/feed/update/urn:li:activity:7416750932140552192/,"There are plenty of Python data science tools, but very few are built specifically for credit risk modeling.",FastWoe,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-021,first_ingest,21,7413851823381598208,https://www.linkedin.com/feed/update/urn:li:activity:7413851823381598208/,Credit Risk Modeling on AWS,Credit Risk Modeling on AWS,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-022,first_ingest,22,7410227928887783424,https://www.linkedin.com/feed/update/urn:li:activity:7410227928887783424/,The Credit Game: Machine Learning and Explainability,SHAP y scorecards,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-023,first_ingest,23,7407691340332834816,https://www.linkedin.com/feed/update/urn:li:activity:7407691340332834816/,LLM and AI Notes,LLM/AI notes,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-024,first_ingest,24,7404429791552270336,https://www.linkedin.com/feed/update/urn:li:activity:7404429791552270336/,Boosted Scorecards in Python,Boosted scorecards,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-025,first_ingest,25,7401530693182427137,https://www.linkedin.com/feed/update/urn:li:activity:7401530693182427137/,Choosing the right tool for end-to-end modeling orchestration on AWS can be challenging.,SageMaker pipelines,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-026,first_ingest,26,7400081067224743936,https://www.linkedin.com/feed/update/urn:li:activity:7400081067224743936/,Credit Risk Modeling on AWS,Scoring en AWS,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-027,first_ingest,27,7397906690391601154,https://www.linkedin.com/feed/update/urn:li:activity:7397906690391601154/,Deep Learning: Credit Risk and Waves of AI,Deep learning en credit risk,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-028,first_ingest,28,7396457171279970304,https://www.linkedin.com/feed/update/urn:li:activity:7396457171279970304/,Open-source credit scoring tools keep improving thanks to an amazing community!,xBooster/FastWoe updates,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-029,first_ingest,29,7394653161082314752,https://www.linkedin.com/feed/update/urn:li:activity:7394653161082314752/,Developing risk models on AWS can be expensive.,Local AWS dev,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-030,first_ingest,30,7392833273737138176,https://www.linkedin.com/feed/update/urn:li:activity:7392833273737138176/,Logistic Regression: From Maximum Likelihood to Machine Learning,Logistic regression foundations,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-031,first_ingest,31,7391383804583645184,https://www.linkedin.com/feed/update/urn:li:activity:7391383804583645184/,Multiclass Weight of Evidence (WOE),Multiclass WOE,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-032,first_ingest,32,7389209473522999296,https://www.linkedin.com/feed/update/urn:li:activity:7389209473522999296/,"While explainability is widely discussed, distillation receives far less attention.",SHAP distillation,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-033,first_ingest,33,7387020037041119234,https://www.linkedin.com/feed/update/urn:li:activity:7387020037041119234/,Training a model in a notebook is no big deal.,CatBoost lifecycle,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-034,first_ingest,34,7384120953489854464,https://www.linkedin.com/feed/update/urn:li:activity:7384120953489854464/,Weight of Evidence: From Bletchley Park to Credit Scoring,WOE foundations,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-035,first_ingest,35,7363453428431224832,https://www.linkedin.com/feed/update/urn:li:activity:7363453428431224832/,Credit risk and fraud are naturally imbalanced problems: far fewer people default or commit fraud compared to th...,Class imbalance y calibracion,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-036,first_ingest,36,7361290473417633792,https://www.linkedin.com/feed/update/urn:li:activity:7361290473417633792/,From statistical tables in 1938 to powering modern computing Fisher and Yates created this for statistical res...,Fisher-Yates shuffle,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-037,first_ingest,37,7358383766534316032,https://www.linkedin.com/feed/update/urn:li:activity:7358383766534316032/,"Fraud risk modeling in digital lending typically falls into two camps: binary classifiers on one end, and comple...",Fraud digital lending,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-038,first_ingest,38,7356587000176533504,https://www.linkedin.com/feed/update/urn:li:activity:7356587000176533504/,What if we treated pixels like words,Visual generation,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-039,first_ingest,39,7353684060264632320,https://www.linkedin.com/feed/update/urn:li:activity:7353684060264632320/,Robust Logistic Regression,Robust logistic regression,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-040,first_ingest,40,7351513545626312704,https://www.linkedin.com/feed/update/urn:li:activity:7351513545626312704/,"Notes on Lending, Credit Risk, and Data Science",Resource collection,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-041,first_ingest,41,7350773655057960960,https://www.linkedin.com/feed/update/urn:li:activity:7350773655057960960/,Simulating with Markov Chain Monte Carlo,MCMC/logistic regression,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-042,first_ingest,42,7348984398186229761,https://www.linkedin.com/feed/update/urn:li:activity:7348984398186229761/,"When interpreting model results, people often ask: What is the recall of your model?",Precision/recall y prevalencia,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-043,first_ingest,43,7346840312377421826,https://www.linkedin.com/feed/update/urn:li:activity:7346840312377421826/,"Yesterday, I got officially certified for AWS Data Engineer - Associate exam by Amazon Web Services (AWS)",AWS certification,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-044,first_ingest,44,7302591232625541122,https://www.linkedin.com/feed/update/urn:li:activity:7302591232625541122/,Explainability and Scorecards,Explainability and scorecards,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-045,first_ingest,45,7297638535648481280,https://www.linkedin.com/feed/update/urn:li:activity:7297638535648481280/,Classification Intervals with Pearsonify,Conformal/probability intervals,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-046,first_ingest,46,7290400805109526529,https://www.linkedin.com/feed/update/urn:li:activity:7290400805109526529/,From WOE to Logistic Regression,WOE to logistic regression,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-047,first_ingest,47,7287502960530518016,https://www.linkedin.com/feed/update/urn:li:activity:7287502960530518016/,How to Make Random Forests More Compact Without Losing Accuracy?,Random Forest compression,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-048,first_ingest,48,7282429540482568193,https://www.linkedin.com/feed/update/urn:li:activity:7282429540482568193/,Logistic regression is a battle-tested tool for tackling high-stakes problems in data science projects where int...,Logistic confidence intervals,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-049,first_ingest,49,7272626194091552768,https://www.linkedin.com/feed/update/urn:li:activity:7272626194091552768/,Weight of Evidence (WOE) Gradient Boosting,WoeBoost,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-050,first_ingest,50,7259829440568836097,https://www.linkedin.com/feed/update/urn:li:activity:7259829440568836097/,Adversarial Learning with Iris,GANs,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-051,first_ingest,51,7254740864336285696,https://www.linkedin.com/feed/update/urn:li:activity:7254740864336285696/,Weight of Evidence for Image Generation,WOE for image generation,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-052,first_ingest,52,7252204203853443072,https://www.linkedin.com/feed/update/urn:li:activity:7252204203853443072/,Linear Minds in a Nonlinear World,Bias-variance,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-053,first_ingest,53,7247130806010187776,https://www.linkedin.com/feed/update/urn:li:activity:7247130806010187776/,Boosting Beyond Trees,Boosting beyond trees,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-054,first_ingest,54,7242057402705993728,https://www.linkedin.com/feed/update/urn:li:activity:7242057402705993728/,Binary and Multiclass Modeling,Binary vs multiclass credit default,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-055,first_ingest,55,7239520617035640833,https://www.linkedin.com/feed/update/urn:li:activity:7239520617035640833/,Another Look at Model Calibration,Calibration toolkit,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-056,first_ingest,56,7234084801039790080,https://www.linkedin.com/feed/update/urn:li:activity:7234084801039790080/,Weight of Evidence for Text Classification,WOE text classification,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-057,first_ingest,57,7229369908193579009,https://www.linkedin.com/feed/update/urn:li:activity:7229369908193579009/,Visualizing Gradient Boosting,Visualizing gradient boosting,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-058,first_ingest,58,7226833197983006722,https://www.linkedin.com/feed/update/urn:li:activity:7226833197983006722/,Model evaluation with Somers D,Somers D / Dxy,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-059,first_ingest,59,7224433718059274241,https://www.linkedin.com/feed/update/urn:li:activity:7224433718059274241/,Fisher Scoring with Python,Fisher Scoring package,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-060,first_ingest_child_post,EXT-LI-001,7140373482889961472,https://www.linkedin.com/posts/denisburakov_woe-estimators-for-pd-models-activity-7140373482889961472-zRus?utm_source=share&utm_medium=member_desktop,WOE Estimators for PD Models | Denis Burakov | 50 comments,linked external LinkedIn post,linkedin_only_child_source_pending_capture,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-061,first_ingest_child_post,EXT-LI-002,7186249596044496897,https://www.linkedin.com/posts/denisburakov_weighted-logistic-regression-activity-7186249596044496897-By5E?utm_source=share&utm_medium=member_desktop,Weighted Logistic Regression | Denis Burakov,linked external LinkedIn post,linkedin_only_child_source_pending_capture,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-062,first_ingest_child_post,EXT-LI-003,7196388918437548033,https://www.linkedin.com/posts/denisburakov_explainable-boosted-scoring-xbooster-activity-7196388918437548033-jmxE?utm_source=share&utm_medium=member_desktop,Explainable Boosted Scoring (xbooster) | Denis Burakov,linked external LinkedIn post,linkedin_only_child_source_pending_capture,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-063,first_ingest_child_post,EXT-LI-004,7168870006380740608,https://www.linkedin.com/posts/denisburakov_log-loss-activity-7168870006380740608-Qgbq?utm_source=share&utm_medium=member_desktop,Log Loss | Denis Burakov,linked external LinkedIn post,linkedin_only_child_source_pending_capture,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-064,first_ingest_child_post,EXT-LI-005,7165608521160421379,https://www.linkedin.com/posts/denisburakov_creditrisk-creditriskmodeling-lending-activity-7165608521160421379-hzLO?utm_source=share&utm_medium=member_desktop,Scorecarding with Naïve Bayes | Denis Burakov,linked external LinkedIn post,linkedin_only_child_source_pending_capture,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-065,first_ingest_child_post,EXT-LI-006,7173218699191926784,https://www.linkedin.com/posts/denisburakov_gradient-boosting-activity-7173218699191926784-892W?utm_source=share&utm_medium=member_desktop,Gradient Boosting | Denis Burakov,linked external LinkedIn post,linkedin_only_child_source_pending_capture,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-066,first_ingest_child_post,EXT-LI-007,7171406844500946944,https://www.linkedin.com/posts/denisburakov_logistic-regression-activity-7171406844500946944-GU_v?utm_source=share&utm_medium=member_desktop,Logistic Regression | Denis Burakov,linked external LinkedIn post,linkedin_only_child_source_pending_capture,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-067,first_ingest_child_post,EXT-LI-008,7152948849597132801,https://www.linkedin.com/posts/denisburakov_logistic-regression-the-two-cultures-activity-7152948849597132801-P7P_?utm_source=share&utm_medium=member_desktop,Logistic Regression: The Two Cultures | Denis Burakov | 15 comments,linked external LinkedIn post,linkedin_only_child_source_pending_capture,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-068,second_ingest,1,7447901245949792256,https://www.linkedin.com/posts/denisburakov_datascience-machinelearning-nlp-activity-7447901245949792256-Fxkf,You already understand LLMs better than you think,"MLE as bridge between scorecards, NLP, and LLMs",second_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-069,second_ingest,2,7376148352284901376,https://www.linkedin.com/posts/denisburakov_explainable-credit-risk-models-activity-7376148352284901376-Mj2m,Explainable Credit Risk Models,"WOE, logistic regression, boosting, explainability workshop",second_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-070,second_ingest,3,7211748798618824704,https://www.linkedin.com/posts/denisburakov_creditriskmodeling-lending-modelriskmanagement-activity-7211748798618824704-BeWw,Credit Scoring with Trended Data,"Trended data, transactional sequences, neural representations",second_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-071,second_ingest,4,7328316894258577408,https://www.linkedin.com/posts/denisburakov_poisson-models-activity-7328316894258577408-5klk,Poisson Models,Count models versus default probability models,second_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-072,second_ingest,5,7381584253375025152,https://www.linkedin.com/posts/denisburakov_enhancing-explainability-in-credit-scoring-activity-7381584253375025152-ilAM,Enhancing Explainability in Credit Scoring,Constrained tree scorecards and responsible ML,second_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-073,second_ingest,6,7346062624972754944,https://www.linkedin.com/posts/denisburakov_woe-log-odds-and-standard-errors-activity-7346062624972754944-3yJB,"WOE, Log Odds, and Standard Errors",WOE uncertainty and logistic standard errors,second_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-074,second_ingest,7,7320341844326797319,https://www.linkedin.com/posts/denisburakov_build-explainable-scorecards-with-catboost-activity-7320341844326797319-2NcG,Build explainable scorecards with CatBoost,CatBoost-to-scorecard extraction,second_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-075,second_ingest,8,7155476795474030592,https://www.linkedin.com/posts/denisburakov_credit-risk-modeling-with-naive-bayes-activity-7155476795474030592-8HtC,Credit Risk Modeling with Naive Bayes,WOE as log-likelihood ratio / Naive Bayes scorecarding,second_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
