queue_id,activity_id,title,theme,capture_status,comment_count,external_link_count,high_priority_external_count,external_domains,logged_in_incremental_value,recommended_action,high_priority_context_excerpt,stop_condition_status
ANDRIJA-LOGIN-027,7397179611266146304,Profile activity 7397179611266146304,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,0,2,0,"inclus.com, lnkd.in",low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-028,7395439589500465153,Profile activity 7395439589500465153,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,8,0,0,,yes,append_comment_context_or_archive,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-029,7381856247467380736,Profile activity 7381856247467380736,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,1,0,0,,yes,append_comment_context_or_archive,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-030,7373943955094319104,Profile activity 7373943955094319104,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,4,3,3,arxiv.org,yes,promote_to_source_reading_queue,"https://arxiv.org/abs/2509.13137 | https://arxiv.org/abs/2509.13137 Agentic AI for Financial Crime Compliance The cost and complexity of financial crime compliance (FCC) continue to rise, often without measurable im | https://arxiv.org/abs/2509.13137",closed_logged_in_surface_captured
ANDRIJA-LOGIN-031,7360975499759616000,Profile activity 7360975499759616000,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,1,1,0,lnkd.in,yes,append_comment_context_or_archive,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-032,7359493731563020288,Profile activity 7359493731563020288,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,0,2,0,lnkd.in,low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-033,7349020596023799808,Profile activity 7349020596023799808,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,3,3,0,"aalto.fi, deloitte.smh.re",yes,append_comment_context_or_archive,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-034,7346120026711646208,Profile activity 7346120026711646208,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,0,1,0,deloitte.smh.re,low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-035,7345756217706713089,Profile activity 7345756217706713089,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,0,1,0,lnkd.in,low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-036,7335971743859105792,Profile activity 7335971743859105792,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,0,1,0,lnkd.in,low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-037,7330928750026448896,Profile activity 7330928750026448896,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,0,2,0,"bofbulletin.fi, lnkd.in",low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
