queue_id,source_pack,source_row_id,priority,target_kind,activity_id,post_url,title,theme,prior_status,logged_in_capture_status,comments_status,stop_condition
ANDRIJA-LOGIN-011,andrija_login_only_p0_p1,7296422990588579840,P0,logged_in_comment_and_link_scan,7296422990588579840,https://www.linkedin.com/feed/update/urn:li:activity:7296422990588579840/,𝐓𝐡𝐞 𝐈𝐧𝐬𝐭𝐚𝐛𝐢𝐥𝐢𝐭𝐲 𝐨𝐟 𝐖𝐨𝐄 𝐄𝐧𝐜𝐨𝐝𝐢𝐧𝐠 𝐢𝐧 𝐏𝐃 𝐌𝐨𝐝𝐞𝐥𝐢𝐧𝐠,PD backtesting and validation,WoE encoding instability is one of the strongest bridge concepts for project governance and Paper 4.,logged_in_rendered_capture_complete,comments_or_links_captured,"Stop when visible comments are expanded, links resolved, and no new source changes claim/table/reviewer-defense status."
ANDRIJA-LOGIN-012,andrija_login_only_p0_p1,7458765378664427520,P0,logged_in_comment_and_link_scan,7458765378664427520,https://www.linkedin.com/feed/update/urn:li:activity:7458765378664427520/,𝗥𝗶𝘀𝗸 𝗙𝗮𝗰𝘁𝗼𝗿 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿𝗶𝗻𝗴 𝗶𝗻 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗧𝗿𝗲𝗲-𝗕𝗮𝘀𝗲𝗱 𝗜𝗻𝘁𝗲𝗿𝗮𝗰𝘁𝗶𝗼𝗻𝘀,"WOE, binning and scorecard stability",Tree-based interactions is a concrete prototype lane under selective ML.,logged_in_rendered_capture_complete,comments_or_links_captured,"Stop when visible comments are expanded, links resolved, and no new source changes claim/table/reviewer-defense status."
ANDRIJA-LOGIN-013,andrija_login_only_p0_p1,7453691768476405760,P1,logged_in_comment_and_link_scan,7453691768476405760,https://www.linkedin.com/feed/update/urn:li:activity:7453691768476405760/,𝗕𝗮𝗰𝗸𝘁𝗲𝘀𝘁𝗶𝗻𝗴 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗢𝗻 𝘁𝗵𝗲 𝗥𝗲𝗹𝗶𝗮𝗯𝗶𝗹𝗶𝘁𝘆 𝗼𝗳 𝘁𝗵𝗲 𝗠𝘂𝗹𝘁𝗶-𝗣𝗲𝗿𝗶𝗼𝗱 𝗡𝗼𝗿𝗺𝗮𝗹 𝗧𝗲𝘀𝘁,PD backtesting and validation,"Normal-test reliability is useful, but it already has extracted deck content.",logged_in_rendered_capture_complete,comments_or_links_captured,"Stop when visible comments are expanded, links resolved, and no new source changes claim/table/reviewer-defense status."
ANDRIJA-LOGIN-014,andrija_login_only_p0_p1,7451153797881618432,P1,logged_in_comment_and_link_scan,7451153797881618432,https://www.linkedin.com/feed/update/urn:li:activity:7451153797881618432/,𝐬𝐦𝐢: 𝐀𝐧 𝗣𝘆𝘁𝗵𝗼𝗻 𝐏𝐚𝐜𝐤𝐚𝐠𝐞 𝐟𝐨𝐫 𝐈𝐅𝐑𝐒𝟗 𝐅𝐨𝐫𝐰𝐚𝐫𝐝-𝐋𝐨𝐨𝐤𝐢𝐧𝐠 𝐌𝐨𝐝𝐞𝐥𝐢𝐧𝐠,IFRS9 forward-looking modeling,"SMI is valuable for thesis IFRS9, but outside IJDS body.",logged_in_rendered_capture_complete,comments_or_links_captured,"Stop when visible comments are expanded, links resolved, and no new source changes claim/table/reviewer-defense status."
ANDRIJA-LOGIN-015,andrija_login_only_p0_p1,7342064984069173248,P1,logged_in_comment_and_link_scan,7342064984069173248,https://www.linkedin.com/feed/update/urn:li:activity:7342064984069173248/,"Our paper, “Drifts, Shifts and Instabilities to Quantify Scorecard Model Risk,” co-authored with Alan Forrest, has been accepted for presentation at the Credit Scoring and Credit C","WOE, binning and scorecard stability",Model shift/MRM is useful for thesis and limitations; public comments already exist but login may reveal all.,logged_in_rendered_capture_complete,comments_or_links_captured,"Stop when visible comments are expanded, links resolved, and no new source changes claim/table/reviewer-defense status."
ANDRIJA-LOGIN-016,andrija_login_only_p0_p1,7455503720936693760,P1,logged_in_comment_and_link_scan,7455503720936693760,https://www.linkedin.com/feed/update/urn:li:activity:7455503720936693760/,𝗖𝗿𝗲𝗱𝗶𝘁 𝗥𝗶𝘀𝗸 𝗠𝗼𝗱𝗲𝗹𝗶𝗻𝗴 𝗪𝗼𝗿𝗸𝗶𝗻𝗴 𝗡𝗼𝘁𝗲𝘀 – 𝗧𝗵𝗲 𝗧𝗵𝗶𝗿𝗱 𝗨𝗽𝗱𝗮𝘁𝗲,IFRS9 forward-looking modeling,"Working Notes bundle could have comment-only links, but the main external sources are already resolved.",logged_in_rendered_capture_complete,comments_or_links_captured,"Stop when visible comments are expanded, links resolved, and no new source changes claim/table/reviewer-defense status."
ANDRIJA-LOGIN-017,andrija_login_only_p0_p1,7443560044412968960,P1,logged_in_comment_and_link_scan,7443560044412968960,https://www.linkedin.com/feed/update/urn:li:activity:7443560044412968960/,𝗔𝗽𝗽𝗹𝗶𝗲𝗱 𝗗𝗮𝘁𝗮 𝗦𝗰𝗶𝗲𝗻𝗰𝗲 𝗳𝗼𝗿 𝗖𝗿𝗲𝗱𝗶𝘁 𝗥𝗶𝘀𝗸,PD backtesting and validation,"ADSFCR umbrella post has many public comments and links, but the core source bundle is already read.",logged_in_rendered_capture_complete,comments_or_links_captured,"Stop when visible comments are expanded, links resolved, and no new source changes claim/table/reviewer-defense status."
ANDRIJA-LOGIN-018,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7440317398584360961,https://www.linkedin.com/feed/update/urn:li:activity:7440317398584360961/,Profile activity 7440317398584360961,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-019,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7439989093985525761,https://www.linkedin.com/feed/update/urn:li:activity:7439989093985525761/,Profile activity 7439989093985525761,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-020,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7438173655291019265,https://www.linkedin.com/feed/update/urn:li:activity:7438173655291019265/,Profile activity 7438173655291019265,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-021,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7435399194388942848,https://www.linkedin.com/feed/update/urn:li:activity:7435399194388942848/,Profile activity 7435399194388942848,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-022,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7425667173840277504,https://www.linkedin.com/feed/update/urn:li:activity:7425667173840277504/,Profile activity 7425667173840277504,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-023,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7425584455609712640,https://www.linkedin.com/feed/update/urn:li:activity:7425584455609712640/,Profile activity 7425584455609712640,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-024,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7424831663123234816,https://www.linkedin.com/feed/update/urn:li:activity:7424831663123234816/,Profile activity 7424831663123234816,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-025,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7421592655278522368,https://www.linkedin.com/feed/update/urn:li:activity:7421592655278522368/,Profile activity 7421592655278522368,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-026,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7398299296388771840,https://www.linkedin.com/feed/update/urn:li:activity:7398299296388771840/,Profile activity 7398299296388771840,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-027,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7397179611266146304,https://www.linkedin.com/feed/update/urn:li:activity:7397179611266146304/,Profile activity 7397179611266146304,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-028,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7395439589500465153,https://www.linkedin.com/feed/update/urn:li:activity:7395439589500465153/,Profile activity 7395439589500465153,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-029,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7381856247467380736,https://www.linkedin.com/feed/update/urn:li:activity:7381856247467380736/,Profile activity 7381856247467380736,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-030,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7373943955094319104,https://www.linkedin.com/feed/update/urn:li:activity:7373943955094319104/,Profile activity 7373943955094319104,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-031,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7360975499759616000,https://www.linkedin.com/feed/update/urn:li:activity:7360975499759616000/,Profile activity 7360975499759616000,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-032,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7359493731563020288,https://www.linkedin.com/feed/update/urn:li:activity:7359493731563020288/,Profile activity 7359493731563020288,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-033,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7349020596023799808,https://www.linkedin.com/feed/update/urn:li:activity:7349020596023799808/,Profile activity 7349020596023799808,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-034,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7346120026711646208,https://www.linkedin.com/feed/update/urn:li:activity:7346120026711646208/,Profile activity 7346120026711646208,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-035,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7345756217706713089,https://www.linkedin.com/feed/update/urn:li:activity:7345756217706713089/,Profile activity 7345756217706713089,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-036,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7335971743859105792,https://www.linkedin.com/feed/update/urn:li:activity:7335971743859105792/,Profile activity 7335971743859105792,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
ANDRIJA-LOGIN-037,andrija_login_only_p0_p1,"7440317398584360961,7439989093985525761,7438173655291019265,7435399194388942848,7425667173840277504,7425584455609712640,7424831663123234816,7421592655278522368,7398299296388771840,7397179611266146304,7395439589500465153,7381856247467380736,7373943955094319104,7360975499759616000,7359493731563020288,7349020596023799808,7346120026711646208,7345756217706713089,7335971743859105792,7330928750026448896",P1,profile_activity_discovery_remaining,7330928750026448896,https://www.linkedin.com/feed/update/urn:li:activity:7330928750026448896/,Profile activity 7330928750026448896,profile_activity_discovery_remaining,"Remaining activity IDs may include older authored posts hidden from public extraction, but likely include reactions/comments.",logged_in_rendered_capture_complete,comments_or_links_captured,Stop when each ID is classified; only capture authored credit-risk posts.
