manual_entry_packet_id_v510,nomination_field_v510,field_required_v510,field_value_prefilled_v510,field_value_entered_v510,human_entry_required_v510,completion_blocker_v510,claim_boundary_v510
manual_capture_07,availability_window,True,False,False,True,True,manual entry field template only
manual_capture_07,claim_boundary_attestation,True,False,False,True,True,manual entry field template only
manual_capture_08,candidate_identifier,True,False,False,True,True,manual entry field template only
manual_capture_08,candidate_affiliation,True,False,False,True,True,manual entry field template only
manual_capture_08,domain_expertise_evidence,True,False,False,True,True,manual entry field template only
manual_capture_08,conflict_statement,True,False,False,True,True,manual entry field template only
manual_capture_08,availability_window,True,False,False,True,True,manual entry field template only
manual_capture_08,claim_boundary_attestation,True,False,False,True,True,manual entry field template only
manual_capture_09,candidate_identifier,True,False,False,True,True,manual entry field template only
manual_capture_09,candidate_affiliation,True,False,False,True,True,manual entry field template only
manual_capture_09,domain_expertise_evidence,True,False,False,True,True,manual entry field template only
manual_capture_09,conflict_statement,True,False,False,True,True,manual entry field template only
manual_capture_09,availability_window,True,False,False,True,True,manual entry field template only
manual_capture_09,claim_boundary_attestation,True,False,False,True,True,manual entry field template only
manual_capture_10,candidate_identifier,True,False,False,True,True,manual entry field template only
manual_capture_10,candidate_affiliation,True,False,False,True,True,manual entry field template only
manual_capture_10,domain_expertise_evidence,True,False,False,True,True,manual entry field template only
manual_capture_10,conflict_statement,True,False,False,True,True,manual entry field template only
manual_capture_10,availability_window,True,False,False,True,True,manual entry field template only
manual_capture_10,claim_boundary_attestation,True,False,False,True,True,manual entry field template only
manual_capture_11,candidate_identifier,True,False,False,True,True,manual entry field template only
manual_capture_11,candidate_affiliation,True,False,False,True,True,manual entry field template only
manual_capture_11,domain_expertise_evidence,True,False,False,True,True,manual entry field template only
manual_capture_11,conflict_statement,True,False,False,True,True,manual entry field template only
manual_capture_11,availability_window,True,False,False,True,True,manual entry field template only
manual_capture_11,claim_boundary_attestation,True,False,False,True,True,manual entry field template only
manual_capture_12,candidate_identifier,True,False,False,True,True,manual entry field template only
manual_capture_12,candidate_affiliation,True,False,False,True,True,manual entry field template only
manual_capture_12,domain_expertise_evidence,True,False,False,True,True,manual entry field template only
manual_capture_12,conflict_statement,True,False,False,True,True,manual entry field template only
manual_capture_12,availability_window,True,False,False,True,True,manual entry field template only
manual_capture_12,claim_boundary_attestation,True,False,False,True,True,manual entry field template only
manual_capture_13,candidate_identifier,True,False,False,True,True,manual entry field template only
manual_capture_13,candidate_affiliation,True,False,False,True,True,manual entry field template only
manual_capture_13,domain_expertise_evidence,True,False,False,True,True,manual entry field template only
manual_capture_13,conflict_statement,True,False,False,True,True,manual entry field template only
manual_capture_13,availability_window,True,False,False,True,True,manual entry field template only
manual_capture_13,claim_boundary_attestation,True,False,False,True,True,manual entry field template only
manual_capture_14,candidate_identifier,True,False,False,True,True,manual entry field template only
manual_capture_14,candidate_affiliation,True,False,False,True,True,manual entry field template only
manual_capture_14,domain_expertise_evidence,True,False,False,True,True,manual entry field template only
manual_capture_14,conflict_statement,True,False,False,True,True,manual entry field template only
manual_capture_14,availability_window,True,False,False,True,True,manual entry field template only
manual_capture_14,claim_boundary_attestation,True,False,False,True,True,manual entry field template only
