page,rendered_in_quarto,role,target_surface,archive_reason,path,path_exists
19an-v6-pending-backlog.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19an-v6-pending-backlog.qmd,True
19ao-v7-online-mdcp-resolution.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19ao-v7-online-mdcp-resolution.qmd,True
19ap-v7-ifrs9-dla-causal-governance.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19ap-v7-ifrs9-dla-causal-governance.qmd,True
19aq-v7-pending-and-results.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19aq-v7-pending-and-results.qmd,True
19ar-v8-method-foundations-and-online.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19ar-v8-method-foundations-and-online.qmd,True
19as-v8-solvers-selector-dla.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19as-v8-solvers-selector-dla.qmd,True
19at-v8-causal-fairness-hybrids-dashboard.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19at-v8-causal-fairness-hybrids-dashboard.qmd,True
19au-v8-results-and-pending.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19au-v8-results-and-pending.qmd,True
19av-v9-online-goal-resolution.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19av-v9-online-goal-resolution.qmd,True
19aw-v10-online-selector-mdcp.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19aw-v10-online-selector-mdcp.qmd,True
19ax-v10-solvers-dla-dfl.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19ax-v10-solvers-dla-dfl.qmd,True
19ay-v10-ifrs9-causal-fairness-dashboard.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19ay-v10-ifrs9-causal-fairness-dashboard.qmd,True
19az-v11-promising-lanes.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19az-v11-promising-lanes.qmd,True
19b-current-assets-and-gaps.qmd,True,official_curated,quarto_official_chapter,,book/chapters/19-paper-mega-extension/19b-current-assets-and-gaps.qmd,True
19ba-v12-resolution-wave.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19ba-v12-resolution-wave.qmd,True
19bb-v13-resolution-wave.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bb-v13-resolution-wave.qmd,True
19bc-v14-powell-framing-audit.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bc-v14-powell-framing-audit.qmd,True
19bd-v15-dynamic-stress-engine.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bd-v15-dynamic-stress-engine.qmd,True
19be-v16-cvar-spo-champion-decomposition.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19be-v16-cvar-spo-champion-decomposition.qmd,True
19bf-v17-ifrs9-causal-fairness-gates.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bf-v17-ifrs9-causal-fairness-gates.qmd,True
19bg-v18-academic-synthesis.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bg-v18-academic-synthesis.qmd,True
19bh-v19-dynamic-engine-v2.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bh-v19-dynamic-engine-v2.qmd,True
19bi-v20-dla-cvar-spo-resolution.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bi-v20-dla-cvar-spo-resolution.qmd,True
19bj-v21-ifrs9-causal-fairness-gates.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bj-v21-ifrs9-causal-fairness-gates.qmd,True
19bk-v22-academic-synthesis.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bk-v22-academic-synthesis.qmd,True
19bl-v23-dynamic-scale-paths.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bl-v23-dynamic-scale-paths.qmd,True
19bm-v24-dla-cvar-spo-upgrade.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bm-v24-dla-cvar-spo-upgrade.qmd,True
19bn-v25-ifrs9-causal-fairness-upgrade.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bn-v25-ifrs9-causal-fairness-upgrade.qmd,True
19bo-v26-registry-and-synthesis.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bo-v26-registry-and-synthesis.qmd,True
19bp-v27-dynamic-scale-and-champion-stress.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bp-v27-dynamic-scale-and-champion-stress.qmd,True
19bq-v28-cvar-dla-spo-upgrade.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bq-v28-cvar-dla-spo-upgrade.qmd,True
19br-v29-ifrs9-causal-fairness-source.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19br-v29-ifrs9-causal-fairness-source.qmd,True
19bs-v30-registry-and-synthesis.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bs-v30-registry-and-synthesis.qmd,True
19bt-v31-dynamic-512-stress.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bt-v31-dynamic-512-stress.qmd,True
19bu-v32-spo-environment-oracle.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bu-v32-spo-environment-oracle.qmd,True
19bv-v33-cvar-certificate.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bv-v33-cvar-certificate.qmd,True
19bw-v34-dla-redesign.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bw-v34-dla-redesign.qmd,True
19bx-v35-online-macro-validation.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bx-v35-online-macro-validation.qmd,True
19by-v36-ifrs9-sicr-upgrade.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19by-v36-ifrs9-sicr-upgrade.qmd,True
19bz-v37-cate-fairness-protocol.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19bz-v37-cate-fairness-protocol.qmd,True
19c-integrated-architecture.qmd,True,official_curated,quarto_official_chapter,,book/chapters/19-paper-mega-extension/19c-integrated-architecture.qmd,True
19ca-v38-final-synthesis.qmd,True,official_curated,quarto_official_chapter,,book/chapters/19-paper-mega-extension/19ca-v38-final-synthesis.qmd,True
19d-implementation-roadmap.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19d-implementation-roadmap.qmd,True
19e-insights-factory-integration.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19e-insights-factory-integration.qmd,True
19f-sequential-decision-framework.qmd,True,official_curated,quarto_official_chapter,,book/chapters/19-paper-mega-extension/19f-sequential-decision-framework.qmd,True
19g-living-lab-operating-model.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19g-living-lab-operating-model.qmd,True
19h-mvp-evidence-pack.qmd,True,official_curated,quarto_official_chapter,,book/chapters/19-paper-mega-extension/19h-mvp-evidence-pack.qmd,True
19i-regret-auditability-frontier.qmd,True,official_curated,quarto_official_chapter,,book/chapters/19-paper-mega-extension/19i-regret-auditability-frontier.qmd,True
19j-experiment-results-and-failures.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19j-experiment-results-and-failures.qmd,True
19k-policy-loan-matrix.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19k-policy-loan-matrix.qmd,True
19l-ifrs9-full-policy-eval.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19l-ifrs9-full-policy-eval.qmd,True
19m-diagnostic-selector-and-frontiers.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19m-diagnostic-selector-and-frontiers.qmd,True
19n-online-mdcp-fairness.qmd,True,official_curated,quarto_official_chapter,,book/chapters/19-paper-mega-extension/19n-online-mdcp-fairness.qmd,True
19o-multi-period-sdam-causal-toy.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19o-multi-period-sdam-causal-toy.qmd,True
19p-exact-replay-topk.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19p-exact-replay-topk.qmd,True
19q-ifrs9-v2-lifetime-ecl.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19q-ifrs9-v2-lifetime-ecl.qmd,True
19r-online-conformal-real.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19r-online-conformal-real.qmd,True
19s-regret-auditability-replay.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19s-regret-auditability-replay.qmd,True
19t-multi-period-solver.qmd,True,official_curated,quarto_official_chapter,,book/chapters/19-paper-mega-extension/19t-multi-period-solver.qmd,True
19u-artifact-catalog-and-claims.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19u-artifact-catalog-and-claims.qmd,True
19v-tail-mdcp-causal-v2.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19v-tail-mdcp-causal-v2.qmd,True
19w-next-wave-exact-topk.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19w-next-wave-exact-topk.qmd,True
19x-next-wave-method-searches.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19x-next-wave-method-searches.qmd,True
19y-nonpromoted-lanes-and-causal-gates.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19y-nonpromoted-lanes-and-causal-gates.qmd,True
19z-next-wave-promotion-dashboard.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19z-next-wave-promotion-dashboard.qmd,True
index.qmd,True,official_curated,quarto_official_chapter,,book/chapters/19-paper-mega-extension/index.qmd,True
