capture_packet_id_v502,capture_field_v502,field_required_v502,field_present_v502,field_prefilled_v502,human_entry_required_v502,claim_boundary_v502
manual_capture_06,caption_final_allowed,True,True,False,True,manual field checklist only
manual_capture_06,patch_scope_ok,True,True,False,True,manual field checklist only
manual_capture_06,reviewer_notes,True,True,False,True,manual field checklist only
manual_capture_07,reviewer_id,True,True,False,True,manual field checklist only
manual_capture_07,review_timestamp_utc,True,True,False,True,manual field checklist only
manual_capture_07,outcome_decision,True,True,False,True,manual field checklist only
manual_capture_07,revision_required,True,True,False,True,manual field checklist only
manual_capture_07,claim_boundary_ok,True,True,False,True,manual field checklist only
manual_capture_07,caption_final_allowed,True,True,False,True,manual field checklist only
manual_capture_07,patch_scope_ok,True,True,False,True,manual field checklist only
manual_capture_07,reviewer_notes,True,True,False,True,manual field checklist only
manual_capture_08,reviewer_id,True,True,False,True,manual field checklist only
manual_capture_08,review_timestamp_utc,True,True,False,True,manual field checklist only
manual_capture_08,outcome_decision,True,True,False,True,manual field checklist only
manual_capture_08,revision_required,True,True,False,True,manual field checklist only
manual_capture_08,claim_boundary_ok,True,True,False,True,manual field checklist only
manual_capture_08,caption_final_allowed,True,True,False,True,manual field checklist only
manual_capture_08,patch_scope_ok,True,True,False,True,manual field checklist only
manual_capture_08,reviewer_notes,True,True,False,True,manual field checklist only
manual_capture_09,reviewer_id,True,True,False,True,manual field checklist only
manual_capture_09,review_timestamp_utc,True,True,False,True,manual field checklist only
manual_capture_09,outcome_decision,True,True,False,True,manual field checklist only
manual_capture_09,revision_required,True,True,False,True,manual field checklist only
manual_capture_09,claim_boundary_ok,True,True,False,True,manual field checklist only
manual_capture_09,caption_final_allowed,True,True,False,True,manual field checklist only
manual_capture_09,patch_scope_ok,True,True,False,True,manual field checklist only
manual_capture_09,reviewer_notes,True,True,False,True,manual field checklist only
manual_capture_10,reviewer_id,True,True,False,True,manual field checklist only
manual_capture_10,review_timestamp_utc,True,True,False,True,manual field checklist only
manual_capture_10,outcome_decision,True,True,False,True,manual field checklist only
manual_capture_10,revision_required,True,True,False,True,manual field checklist only
manual_capture_10,claim_boundary_ok,True,True,False,True,manual field checklist only
manual_capture_10,caption_final_allowed,True,True,False,True,manual field checklist only
manual_capture_10,patch_scope_ok,True,True,False,True,manual field checklist only
manual_capture_10,reviewer_notes,True,True,False,True,manual field checklist only
manual_capture_11,reviewer_id,True,True,False,True,manual field checklist only
manual_capture_11,review_timestamp_utc,True,True,False,True,manual field checklist only
manual_capture_11,outcome_decision,True,True,False,True,manual field checklist only
manual_capture_11,revision_required,True,True,False,True,manual field checklist only
manual_capture_11,claim_boundary_ok,True,True,False,True,manual field checklist only
manual_capture_11,caption_final_allowed,True,True,False,True,manual field checklist only
manual_capture_11,patch_scope_ok,True,True,False,True,manual field checklist only
manual_capture_11,reviewer_notes,True,True,False,True,manual field checklist only
manual_capture_12,reviewer_id,True,True,False,True,manual field checklist only
manual_capture_12,review_timestamp_utc,True,True,False,True,manual field checklist only
manual_capture_12,outcome_decision,True,True,False,True,manual field checklist only
manual_capture_12,revision_required,True,True,False,True,manual field checklist only
manual_capture_12,claim_boundary_ok,True,True,False,True,manual field checklist only
manual_capture_12,caption_final_allowed,True,True,False,True,manual field checklist only
manual_capture_12,patch_scope_ok,True,True,False,True,manual field checklist only
manual_capture_12,reviewer_notes,True,True,False,True,manual field checklist only
manual_capture_13,reviewer_id,True,True,False,True,manual field checklist only
manual_capture_13,review_timestamp_utc,True,True,False,True,manual field checklist only
manual_capture_13,outcome_decision,True,True,False,True,manual field checklist only
manual_capture_13,revision_required,True,True,False,True,manual field checklist only
manual_capture_13,claim_boundary_ok,True,True,False,True,manual field checklist only
manual_capture_13,caption_final_allowed,True,True,False,True,manual field checklist only
manual_capture_13,patch_scope_ok,True,True,False,True,manual field checklist only
manual_capture_13,reviewer_notes,True,True,False,True,manual field checklist only
manual_capture_14,reviewer_id,True,True,False,True,manual field checklist only
manual_capture_14,review_timestamp_utc,True,True,False,True,manual field checklist only
manual_capture_14,outcome_decision,True,True,False,True,manual field checklist only
manual_capture_14,revision_required,True,True,False,True,manual field checklist only
manual_capture_14,claim_boundary_ok,True,True,False,True,manual field checklist only
manual_capture_14,caption_final_allowed,True,True,False,True,manual field checklist only
manual_capture_14,patch_scope_ok,True,True,False,True,manual field checklist only
manual_capture_14,reviewer_notes,True,True,False,True,manual field checklist only
