variable,source,dtype,present_in_cleaned,present_in_raw,row_count,non_null_count,missing_rate,distinct_count,lane_flags,dictionary_description
sec_app_mort_acc,cleaned_parquet,double,True,True,,,,,,Number of mortgage accounts at time of application for the secondary applicant
sec_app_open_acc,cleaned_parquet,double,True,True,,,,,,Number of open trades at time of application for the secondary applicant
sec_app_revol_util,cleaned_parquet,double,True,True,,,,,,Ratio of total current balance to high credit/credit limit for all revolving accounts
sec_app_open_act_il,cleaned_parquet,double,True,True,,,,,,Number of currently active installment trades at time of application for the secondary applicant
sec_app_num_rev_accts,cleaned_parquet,double,True,True,,,,,,Number of revolving accounts at time of application for the secondary applicant
sec_app_chargeoff_within_12_mths,cleaned_parquet,double,True,True,,,,,,Number of charge-offs within last 12 months at time of application for the secondary applicant
sec_app_collections_12_mths_ex_med,cleaned_parquet,double,True,True,,,,,,Number of collections within last 12 months excluding medical collections at time of application for the secondary applicant
deferral_term,cleaned_parquet,double,True,True,,,,,,Amount of months that the borrower is expected to pay less than the contractual monthly payment amount due to a hardship plan
orig_projected_additional_accrued_interest,cleaned_parquet,double,True,True,,,,,,The original projected additional interest amount that will accrue for the given hardship payment plan as of the Hardship Start Date. This field will be null if the borrower has broken their hardship payment plan.
default_flag,cleaned_parquet,int64,True,False,1860764,1860764,0.0,2,ifrs9_sicr:cleaned;cate_policy_value:cleaned;online_conformal:cleaned;spo_dfl:cleaned;dla_adp:cleaned;cvar_oce:cleaned,
lgd,cleaned_parquet,double,True,False,1860764,1860764,0.0,347912,ifrs9_sicr:cleaned;cate_policy_value:cleaned;online_conformal:cleaned;spo_dfl:cleaned;dla_adp:cleaned;cvar_oce:cleaned,
lgd_months_since_issue,cleaned_parquet,double,True,False,1860764,1860764,0.0,160,ifrs9_sicr:cleaned;dla_adp:cleaned;cvar_oce:cleaned,
lgd_is_mature_24m,cleaned_parquet,int64,True,False,1860764,1860764,0.0,2,ifrs9_sicr:cleaned,
funded_amnt,raw_csv_only,,False,True,,,,,ifrs9_sicr:raw;cate_policy_value:raw,The total amount committed to that loan at that point in time.
out_prncp,raw_csv_only,,False,True,,,,,ifrs9_sicr:raw;dla_adp:raw,Remaining outstanding principal for total amount funded
total_pymnt,raw_csv_only,,False,True,,,,,ifrs9_sicr:raw;cate_policy_value:raw;spo_dfl:raw;cvar_oce:raw,Payments received to date for total amount funded
total_rec_prncp,raw_csv_only,,False,True,,,,,ifrs9_sicr:raw;cvar_oce:raw,Principal received to date
total_rec_int,raw_csv_only,,False,True,,,,,ifrs9_sicr:raw;cvar_oce:raw,Interest received to date
recoveries,raw_csv_only,,False,True,,,,,ifrs9_sicr:raw;cate_policy_value:raw;spo_dfl:raw;cvar_oce:raw,post charge off gross recovery
collection_recovery_fee,raw_csv_only,,False,True,,,,,ifrs9_sicr:raw,post charge off collection fee
last_pymnt_d,raw_csv_only,,False,True,,,,,ifrs9_sicr:raw;dla_adp:raw,Last month payment was received
last_pymnt_amnt,raw_csv_only,,False,True,,,,,ifrs9_sicr:raw,Last total payment amount received
last_credit_pull_d,raw_csv_only,,False,True,,,,,ifrs9_sicr:raw;online_conformal:raw;dla_adp:raw,The most recent month LC pulled credit for this loan
hardship_flag,raw_csv_only,,False,True,,,,,ifrs9_sicr:raw;online_conformal:raw;dla_adp:raw,Flags whether or not the borrower is on a hardship plan
hardship_status,raw_csv_only,,False,True,,,,,ifrs9_sicr:raw,"Describes if the hardship plan is active, pending, canceled, completed, or broken"
hardship_dpd,raw_csv_only,,False,True,,,,,ifrs9_sicr:raw,Account days past due as of the hardship plan start date
hardship_loan_status,raw_csv_only,,False,True,,,,,ifrs9_sicr:raw,Loan Status as of the hardship plan start date
debt_settlement_flag,raw_csv_only,,False,True,,,,,ifrs9_sicr:raw,"Flags whether or not the borrower, who has charged-off, is working with a debt-settlement company."
