path_id,macro_regime_v15,base_default_multiplier,base_lgd_multiplier,base_prepay_multiplier,vintage_amplitude,calibration_scope
79,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
80,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
81,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
82,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
83,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
84,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
85,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
86,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
87,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
88,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
89,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
90,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
91,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
92,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
93,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
94,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
95,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
96,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
97,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
98,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
99,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
100,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
101,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
102,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
103,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
104,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
105,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
106,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
107,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
108,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
109,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
110,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
111,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
112,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
113,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
114,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
115,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
116,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
117,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
118,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
119,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
120,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
121,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
122,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
123,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
124,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
125,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
126,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
127,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
