bundle_id_v377,artifact_role_v377,source_wave_v377,artifact_path_v377,required_v377,path_exists_v377,byte_size_v377,sha256_v377,claim_use_v377,claim_boundary_v377
v374_status,status,v374,reports/paper_material/paper4/status/paper4_v374_status.json,True,True,1150,c4accebd47cf9610e0ca1f0fe2382fa1fe33b4a41db88aa16b7c0ab5e3886df6,status provenance,status evidence only
v375_data_contract,table,v375,reports/paper_material/paper4/tables/paper4_v375_live_gate_data_contract.csv,True,True,4089,68591fa1e29ecaef0cdecbfc7cd9fed96ff98d990a47bf5b33a839a6dcb31280,live-gate data contract,requirements only
v375_claim_permissions,table,v375,reports/paper_material/paper4/tables/paper4_v375_claim_permission_register.csv,True,True,831,ed640895a5819ecb63ffa9553c1ebc1f83fc1114693a4edbc6daefe7c2286768,claim permissions,permission register only
v375_status,status,v375,reports/paper_material/paper4/status/paper4_v375_status.json,True,True,1471,65eaf811bc6a5ba1b5e56f2af22bef81f46a36568420d4217183d4f3434e457f,status provenance,status evidence only
v376_publication_patch,note,v376,reports/paper_material/paper4/notes/paper4_v376_publication_integration_patch.md,True,True,3761,7f7cbbd96bf5747bc7c296f76163f3bc9482c903ecdd96e0a1e3ab4a3be213a1,publication integration patch,patch only
v376_section_map,table,v376,reports/paper_material/paper4/tables/paper4_v376_section_integration_map.csv,True,True,1628,f64bc070fc3f348f3f9efc59d154a6455fd4392072d2856baf0021f14f507c96,section integration map,planning artifact only
v376_allowed_sentences,table,v376,reports/paper_material/paper4/tables/paper4_v376_allowed_sentence_bank.csv,True,True,1521,963c9e0bd4dde37ed313acfd4354ff122e5188f7709def7843eb14d2c5b9abd5,allowed sentence bank,bounded wording only
v376_prohibited_sentences,table,v376,reports/paper_material/paper4/tables/paper4_v376_prohibited_sentence_bank.csv,True,True,816,c4dc32e67d540216160f665d5ed55ec4c70f54907c6df40887de2d9288593a4a,prohibited sentence bank,prohibition register only
v376_status,status,v376,reports/paper_material/paper4/status/paper4_v376_status.json,True,True,1363,504740d4e735dc203187cf88b47bede0c71bb95c46c243f412e4dbe88c89fcd9,status provenance,status evidence only
living_lab_notebook,note,v1-v377,reports/paper_material/paper4/notes/paper4_living_lab_notebook.md,True,True,500313,ea211c25dfd2aea23b5768c2c827570dddd54b347cab6078ecd61e8389c0694b,wave history,living notebook only
living_lab_guardrails,test,v1-v377,tests/test_docs/test_paper4_living_lab_guardrails.py,True,True,2233121,cd2f954bb046cba0032641a33f52e0e37e51473ae9e6a66798d49ebbbb08fba3,guardrail tests,test evidence only
