source_family,source_id,cap_share_v350,source_exposure_v350,source_share_v350,source_slack_v350,source_slack_rank_v350,source_tight_flag_v350,branch_price_priority_v350,required_next_artifact_v350,claim_boundary_v350
grade,A,0.8531348749298603,719850.0,0.8531302776214038,4.597308456477656e-06,1,True,1.0,paper4_v351_v347_branch_price_or_dual_bound_loop.csv,v347 source-slack hotspot map only; no branch-price termination certificate
income_band,2,0.85,48950.0,0.0580130959082693,0.7919869040917306,31,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
grade,D,0.8531348749298603,47050.0,0.055761310775977,0.7973735641538833,32,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
grade,C,0.8531348749298603,40600.0,0.0481170928268792,0.8050177821029811,33,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
dti_band,2,0.85,37200.0,0.0440875825901454,0.8059124174098545,34,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
income_band,1,0.85,26925.0,0.0319101656247222,0.8180898343752777,35,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
score_decile,1,0.9,64000.0,0.0758496044561642,0.8241503955438357,36,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
grade,B,0.8531348749298603,21725.0,0.0257473852626588,0.8273874896672014,37,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
dti_band,3,0.85,17425.0,0.0206512399632603,0.8293487600367396,38,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
grade,E,0.8531348749298603,13550.0,0.0160587834434535,0.8370760914864067,39,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
income_band,0,0.85,5500.0,0.0065183253829516,0.8434816746170484,40,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
dti_band,4,0.85,3000.0,0.0035554502088826,0.8464445497911173,41,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
grade,F,0.8531348749298603,1000.0,0.0011851500696275,0.8519497248602327,42,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
grade,G,0.8531348749298603,0.0,0.0,0.8531348749298603,43,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
score_decile,2,0.9,20475.0,0.0242659476756244,0.8757340523243756,44,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
score_decile,3,0.9,0.0,0.0,0.9,45,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
score_decile,4,0.9,0.0,0.0,0.9,46,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
score_decile,5,0.9,0.0,0.0,0.9,47,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
score_decile,6,0.9,0.0,0.0,0.9,48,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
score_decile,7,0.9,0.0,0.0,0.9,49,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
score_decile,8,0.9,0.0,0.0,0.9,50,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
score_decile,9,0.9,0.0,0.0,0.9,51,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
