source_family,source_id,cap_share_v356,source_exposure_v356,source_share_v356,source_slack_v356,source_slack_rank_v356,source_tight_flag_v356,branch_price_priority_v356,required_next_artifact_v356,claim_boundary_v356
grade,A,0.8531348749298603,719850.0,0.8531302776214038,4.597308456477656e-06,1,True,1.0,paper4_v357_v353_branch_price_or_dual_bound_loop.csv,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,CO,0.35,15875.0,0.0188142573553376,0.3311857426446624,18,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,VA,0.35,14950.0,0.0177179935409321,0.3322820064590678,19,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,AZ,0.35,12000.0,0.0142218008355307,0.3357781991644691,20,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,NJ,0.35,10600.0,0.0125625907380522,0.3374374092619477,21,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,NV,0.35,9700.0,0.0114959556753873,0.3385040443246125,22,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,MN,0.35,9100.0,0.0107848656336108,0.3392151343663891,23,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,IN,0.35,8050.0,0.0095404580605019,0.340459541939498,24,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,MD,0.35,7275.0,0.0086219667565405,0.3413780332434594,25,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,MI,0.35,2400.0,0.0028443601671061,0.3471556398328938,26,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
period,2019,0.82,285625.0,0.3385084886373737,0.4814915113626262,27,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
dti_band,1,0.85,165850.0,0.1965571390477319,0.653442860952268,28,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
income_band,3,0.85,100475.0,0.1190779532458297,0.7309220467541702,29,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
period,2020,0.82,41925.0,0.0496874166691357,0.7703125833308642,30,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
income_band,2,0.85,52950.0,0.0627536961867796,0.7872463038132204,31,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
grade,D,0.8531348749298603,47050.0,0.055761310775977,0.7973735641538833,32,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
dti_band,2,0.85,39700.0,0.0470504577642144,0.8029495422357856,33,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
grade,C,0.8531348749298603,40600.0,0.0481170928268792,0.8050177821029811,34,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
income_band,1,0.85,24425.0,0.0289472904506533,0.8210527095493466,35,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
score_decile,1,0.9,64000.0,0.0758496044561642,0.8241503955438357,36,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
grade,B,0.8531348749298603,21725.0,0.0257473852626588,0.8273874896672014,37,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
dti_band,3,0.85,16425.0,0.0194660898936327,0.8305339101063672,38,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
grade,E,0.8531348749298603,13550.0,0.0160587834434535,0.8370760914864067,39,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
income_band,0,0.85,4500.0,0.005333175313324,0.844666824686676,40,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
dti_band,4,0.85,3000.0,0.0035554502088826,0.8464445497911173,41,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
grade,F,0.8531348749298603,1000.0,0.0011851500696275,0.8519497248602327,42,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
grade,G,0.8531348749298603,0.0,0.0,0.8531348749298603,43,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
score_decile,2,0.9,20475.0,0.0242659476756244,0.8757340523243756,44,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
score_decile,3,0.9,0.0,0.0,0.9,45,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
score_decile,4,0.9,0.0,0.0,0.9,46,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
score_decile,5,0.9,0.0,0.0,0.9,47,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
score_decile,6,0.9,0.0,0.0,0.9,48,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
score_decile,7,0.9,0.0,0.0,0.9,49,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
score_decile,8,0.9,0.0,0.0,0.9,50,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
score_decile,9,0.9,0.0,0.0,0.9,51,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
