activity_id,post_url,date,author,post_type,attachment_type,capture_status,completeness_status,blocker_or_next_action,source_status
7434266280364498944,https://www.linkedin.com/feed/update/urn:li:activity:7434266280364498944/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_post_text_captured_no_media,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7431246513466609664,https://www.linkedin.com/feed/update/urn:li:activity:7431246513466609664/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_post_text_captured_no_media,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7429434643583725571,https://www.linkedin.com/feed/update/urn:li:activity:7429434643583725571/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7426897722655277074,https://www.linkedin.com/feed/update/urn:li:activity:7426897722655277074/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7423998736009375745,https://www.linkedin.com/feed/update/urn:li:activity:7423998736009375745/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7421824489165979649,https://www.linkedin.com/feed/update/urn:li:activity:7421824489165979649/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7421223494132314112,https://www.linkedin.com/feed/update/urn:li:activity:7421223494132314112/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7419287581689008128,https://www.linkedin.com/feed/update/urn:li:activity:7419287581689008128/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7417475730277670912,https://www.linkedin.com/feed/update/urn:li:activity:7417475730277670912/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7416750932140552192,https://www.linkedin.com/feed/update/urn:li:activity:7416750932140552192/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7413851823381598208,https://www.linkedin.com/feed/update/urn:li:activity:7413851823381598208/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7410227928887783424,https://www.linkedin.com/feed/update/urn:li:activity:7410227928887783424/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7407691340332834816,https://www.linkedin.com/feed/update/urn:li:activity:7407691340332834816/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7404429791552270336,https://www.linkedin.com/feed/update/urn:li:activity:7404429791552270336/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7401530693182427137,https://www.linkedin.com/feed/update/urn:li:activity:7401530693182427137/,,Denis Burakov,linkedin_activity_post,none_recorded,public_permalink_captured,partial_post_text_captured_no_media,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7400081067224743936,https://www.linkedin.com/feed/update/urn:li:activity:7400081067224743936/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7397906690391601154,https://www.linkedin.com/feed/update/urn:li:activity:7397906690391601154/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7396457171279970304,https://www.linkedin.com/feed/update/urn:li:activity:7396457171279970304/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7394653161082314752,https://www.linkedin.com/feed/update/urn:li:activity:7394653161082314752/,,Denis Burakov,linkedin_activity_post,none_recorded,public_permalink_captured,partial_post_text_captured_no_media,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7392833273737138176,https://www.linkedin.com/feed/update/urn:li:activity:7392833273737138176/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7391383804583645184,https://www.linkedin.com/feed/update/urn:li:activity:7391383804583645184/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7389209473522999296,https://www.linkedin.com/feed/update/urn:li:activity:7389209473522999296/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7387020037041119234,https://www.linkedin.com/feed/update/urn:li:activity:7387020037041119234/,,Denis Burakov,linkedin_activity_post,none_recorded,public_permalink_captured,partial_post_text_captured_no_media,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7384120953489854464,https://www.linkedin.com/feed/update/urn:li:activity:7384120953489854464/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7363453428431224832,https://www.linkedin.com/feed/update/urn:li:activity:7363453428431224832/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7361290473417633792,https://www.linkedin.com/feed/update/urn:li:activity:7361290473417633792/,,Denis Burakov,linkedin_activity_post,Video,public_permalink_captured,partial_post_text_captured_no_media,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7358383766534316032,https://www.linkedin.com/feed/update/urn:li:activity:7358383766534316032/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7356587000176533504,https://www.linkedin.com/feed/update/urn:li:activity:7356587000176533504/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7353684060264632320,https://www.linkedin.com/feed/update/urn:li:activity:7353684060264632320/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7351513545626312704,https://www.linkedin.com/feed/update/urn:li:activity:7351513545626312704/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7350773655057960960,https://www.linkedin.com/feed/update/urn:li:activity:7350773655057960960/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7348984398186229761,https://www.linkedin.com/feed/update/urn:li:activity:7348984398186229761/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7346840312377421826,https://www.linkedin.com/feed/update/urn:li:activity:7346840312377421826/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7302591232625541122,https://www.linkedin.com/feed/update/urn:li:activity:7302591232625541122/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7297638535648481280,https://www.linkedin.com/feed/update/urn:li:activity:7297638535648481280/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7290400805109526529,https://www.linkedin.com/feed/update/urn:li:activity:7290400805109526529/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7287502960530518016,https://www.linkedin.com/feed/update/urn:li:activity:7287502960530518016/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7282429540482568193,https://www.linkedin.com/feed/update/urn:li:activity:7282429540482568193/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7272626194091552768,https://www.linkedin.com/feed/update/urn:li:activity:7272626194091552768/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7259829440568836097,https://www.linkedin.com/feed/update/urn:li:activity:7259829440568836097/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7254740864336285696,https://www.linkedin.com/feed/update/urn:li:activity:7254740864336285696/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7252204203853443072,https://www.linkedin.com/feed/update/urn:li:activity:7252204203853443072/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7247130806010187776,https://www.linkedin.com/feed/update/urn:li:activity:7247130806010187776/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7242057402705993728,https://www.linkedin.com/feed/update/urn:li:activity:7242057402705993728/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7239520617035640833,https://www.linkedin.com/feed/update/urn:li:activity:7239520617035640833/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7234084801039790080,https://www.linkedin.com/feed/update/urn:li:activity:7234084801039790080/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7229369908193579009,https://www.linkedin.com/feed/update/urn:li:activity:7229369908193579009/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_post_text_captured_no_media,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7226833197983006722,https://www.linkedin.com/feed/update/urn:li:activity:7226833197983006722/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7224433718059274241,https://www.linkedin.com/feed/update/urn:li:activity:7224433718059274241/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
