n,activity_id,post_url,date,author,title,relevance,theme,summary_es,tesis_use,attachment_type,external_links,short_snippet_under_25_words,discovery_source
11,7462756612538073090,https://www.linkedin.com/posts/andrija-djurovic_activity-7462756612538073090--Doz,,Andrija Djurovic,LinkedIn post,Media,Credit-risk modeling source discovery,Post candidato a lectura; clasificar despues de resolver adjuntos/enlaces.,"Research pack; promover solo si cambia libro, paper o apendice.",unknown_pending_capture,,,public_profile_recent_activity
12,6965364290866282496,https://fr.linkedin.com/posts/andrija-djurovic_python-r-rstats-activity-6965364290866282496-JXRW,,Andrija Djurovic,I've built and publish for testing python monobinpy package.,Alta,"WOE, binning and scorecard stability","Material de binning/WOE/scorecards; util para estabilidad, interpretabilidad y caveats de scorecards.",Libro Ch05-Ch06; Paper 4 solo como apendice/prototipo acotado.,external_links,https://lnkd.in/dWhtAm-G | https://lnkd.in/dEMNCqBN,"I've built and publish for testing python monobinpy package. In essence, this is a replica of my R monobin package (https://lnkd.in/dWhtAm-G) which goal is",search_seed
13,7392821942728273920,https://www.linkedin.com/posts/andrija-djurovic_%F0%9D%90%88%F0%9D%90%85%F0%9D%90%91%F0%9D%90%92%F0%9D%9F%97-%F0%9D%90%85%F0%9D%90%A8%F0%9D%90%AB%F0%9D%90%B0%F0%9D%90%9A%F0%9D%90%AB%F0%9D%90%9D-%F0%9D%90%8B%F0%9D%90%A8%F0%9D%90%A8%F0%9D%90%A4%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%A0-activity-7392821942728273920-sYiG,,Andrija Djurovic,𝐈𝐅𝐑𝐒𝟗 𝐅𝐨𝐫𝐰𝐚𝐫𝐝-𝐋𝐨𝐨𝐤𝐢𝐧𝐠 𝐌𝐨𝐝𝐞𝐥𝐢𝐧𝐠,Alta,IFRS9 forward-looking modeling,"Material de FLI/IFRS9 y modelos macro; sirve para diagnostico y narrativa de limitaciones, no para mover el champion PD.",Libro Ch10 y mini libro CRPTO; posible apendice de tesis sobre FLI/escenarios.,external_links,https://lnkd.in/dQFr6D98 | https://lnkd.in/dhufwehR | https://lnkd.in/d6sd3d2y | https://lnkd.in/dPbKQNcr | https://lnkd.in/deapKsbW | https://lnkd.in/dc24n3Tg | https://lnkd.in/dugumWyH | https://lnkd.in/dGXxqTqk | https://lnkd.in/dF-cxgMY | https://lnkd.in/dz8xuNAP,"𝐈𝐅𝐑𝐒𝟗 𝐅𝐨𝐫𝐰𝐚𝐫𝐝-𝐋𝐨𝐨𝐤𝐢𝐧𝐠 𝐌𝐨𝐝𝐞𝐥𝐢𝐧𝐠 For me, forward-looking (FLI) modeling under IFRS9 is one of the most interesting areas of credit risk modeling because it goes",search_seed
14,7435946096050339840,https://www.linkedin.com/posts/andrija-djurovic_modelbasedpdratingscalecalibration-activity-7435946096050339840-VDj7,,Andrija Djurovic,𝗔 𝗠𝗼𝗱𝗲𝗹-𝗕𝗮𝘀𝗲𝗱 𝗔𝗽𝗽𝗿𝗼𝗮𝗰𝗵 𝘁𝗼 𝗗𝗶𝘀𝗰𝗿𝗲𝘁𝗲 𝗣𝗗 𝗥𝗮𝘁𝗶𝗻𝗴 𝗦𝗰𝗮𝗹𝗲 𝗖𝗮𝗹𝗶𝗯𝗿𝗮𝘁𝗶𝗼𝗻 - 𝗟𝗼𝗴𝗶𝘀𝘁𝗶𝗰 𝗥𝗲𝗴𝗿𝗲𝘀𝘀𝗶𝗼𝗻 𝗜𝗻𝘁𝗲𝗿𝗰𝗲𝗽𝘁 𝗢𝗽𝘁𝗶𝗺𝗶𝘇𝗮𝘁𝗶𝗼𝗻,Media,Credit-risk modeling source discovery,Post candidato a lectura; clasificar despues de resolver adjuntos/enlaces.,"Research pack; promover solo si cambia libro, paper o apendice.",linkedin_document_deck,,"𝗔 𝗠𝗼𝗱𝗲𝗹-𝗕𝗮𝘀𝗲𝗱 𝗔𝗽𝗽𝗿𝗼𝗮𝗰𝗵 𝘁𝗼 𝗗𝗶𝘀𝗰𝗿𝗲𝘁𝗲 𝗣𝗗 𝗥𝗮𝘁𝗶𝗻𝗴 𝗦𝗰𝗮𝗹𝗲 𝗖𝗮𝗹𝗶𝗯𝗿𝗮𝘁𝗶𝗼𝗻 - 𝗟𝗼𝗴𝗶𝘀𝘁𝗶𝗰 𝗥𝗲𝗴𝗿𝗲𝘀𝘀𝗶𝗼𝗻 𝗜𝗻𝘁𝗲𝗿𝗰𝗲𝗽𝘁 𝗢𝗽𝘁𝗶𝗺𝗶𝘇𝗮𝘁𝗶𝗼𝗻 In IRB modeling, risk quantification is a regulatory requirement aimed",search_seed
15,7330472362141761538,https://www.linkedin.com/posts/andrija-djurovic_%F0%9D%90%91-%F0%9D%90%88%F0%9D%90%91%F0%9D%90%81-%F0%9D%90%AD%F0%9D%90%A8%F0%9D%90%A8%F0%9D%90%A5%F0%9D%90%A4%F0%9D%90%A2%F0%9D%90%AD-my-r-irb-toolkit-activity-7330472362141761538-5UJ8,,Andrija Djurovic,𝐑 𝐈𝐑𝐁 𝐭𝐨𝐨𝐥𝐤𝐢𝐭,Alta,"WOE, binning and scorecard stability","Material de binning/WOE/scorecards; util para estabilidad, interpretabilidad y caveats de scorecards.",Libro Ch05-Ch06; Paper 4 solo como apendice/prototipo acotado.,external_links,https://lnkd.in/dm2p5UNv,"𝐑 𝐈𝐑𝐁 𝐭𝐨𝐨𝐥𝐤𝐢𝐭 My R IRB toolkit - a collection of 𝐑 packages including 𝐦𝐨𝐧𝐨𝐛𝐢𝐧, 𝐦𝐨𝐧𝐨𝐛𝐢𝐧𝐒𝐡𝐢𝐧𝐲, 𝐏𝐃𝐭𝐨𝐨𝐥𝐤𝐢𝐭, and 𝐋𝐆𝐃𝐭𝐨𝐨𝐥𝐤𝐢𝐭 - has reached 50,000 downloads.",search_seed
16,7112329977517215745,https://www.linkedin.com/posts/andrija-djurovic_probability-of-default-rating-modeling-with-activity-7112329977517215745-eeri,,Andrija Djurovic,📕 𝙋𝙧𝙤𝙗𝙖𝙗𝙞𝙡𝙞𝙩𝙮 𝙤𝙛 𝘿𝙚𝙛𝙖𝙪𝙡𝙩 𝙍𝙖𝙩𝙞𝙣𝙜 𝙈𝙤𝙙𝙚𝙡𝙞𝙣𝙜 𝙬𝙞𝙩𝙝 𝙍,Alta,"WOE, binning and scorecard stability","Material de binning/WOE/scorecards; util para estabilidad, interpretabilidad y caveats de scorecards.",Libro Ch05-Ch06; Paper 4 solo como apendice/prototipo acotado.,external_links,https://leanpub.com/pdrmwr,"📕 𝙋𝙧𝙤𝙗𝙖𝙗𝙞𝙡𝙞𝙩𝙮 𝙤𝙛 𝘿𝙚𝙛𝙖𝙪𝙡𝙩 𝙍𝙖𝙩𝙞𝙣𝙜 𝙈𝙤𝙙𝙚𝙡𝙞𝙣𝙜 𝙬𝙞𝙩𝙝 𝙍 After dedicating over two years to preparation, which included the creation of R packages: monobin, monobinShiny,",search_seed
17,7420725800745754625,https://www.linkedin.com/posts/andrija-djurovic_creditrisk-irb-ifrs9-activity-7420725800745754625-CRhr,,Andrija Djurovic,𝗦𝗲𝗰𝗼𝗻𝗱 𝗨𝗽𝗱𝗮𝘁𝗲 𝗼𝗳 𝘁𝗵𝗲 𝗖𝗿𝗲𝗱𝗶𝘁 𝗥𝗶𝘀𝗸 𝗠𝗼𝗱𝗲𝗹𝗶𝗻𝗴 𝗪𝗼𝗿𝗸𝗶𝗻𝗴 𝗡𝗼𝘁𝗲𝘀,Alta,IFRS9 forward-looking modeling,"Material de FLI/IFRS9 y modelos macro; sirve para diagnostico y narrativa de limitaciones, no para mover el champion PD.",Libro Ch10 y mini libro CRPTO; posible apendice de tesis sobre FLI/escenarios.,linkedin_image_or_carousel,https://lnkd.in/dm2p5UNv | https://lnkd.in/dc24n3Tg | https://lnkd.in/dHe9Kiwy | https://lnkd.in/d_MtDxgh | https://lnkd.in/ddciAAZz | https://lnkd.in/d9Wq5Ybh | https://lnkd.in/dugumWyH | https://lnkd.in/drRgYki8 | https://lnkd.in/d6_pWf4q | https://lnkd.in/d4C2hRdz | https://leanpub.com/crmwn,𝗦𝗲𝗰𝗼𝗻𝗱 𝗨𝗽𝗱𝗮𝘁𝗲 𝗼𝗳 𝘁𝗵𝗲 𝗖𝗿𝗲𝗱𝗶𝘁 𝗥𝗶𝘀𝗸 𝗠𝗼𝗱𝗲𝗹𝗶𝗻𝗴 𝗪𝗼𝗿𝗸𝗶𝗻𝗴 𝗡𝗼𝘁𝗲𝘀 I have published the second update of the 📕Credit Risk Modeling Working Notes. The download,search_seed
18,6886388764965392384,https://www.linkedin.com/posts/andrija-djurovic_github-andrija-djurovicpdtoolkit-collection-activity-6886388764965392384-fZDY,,Andrija Djurovic,I am happy to announce that my new package PDtoolkit is now available on CRAN.,Alta,"Representativeness, heterogeneity, monotonicity","Material de gobierno/model risk que puede fortalecer auditoria de estructura, C2ST y monotonicidad.","Libro Ch10, paper estrella defensa de gobernanza, Paper 4 si hay diagnostico reproducible.",external_links,https://lnkd.in/deVTA595 | https://lnkd.in/dMmMfEJB,I am happy to announce that my new package PDtoolkit is now available on CRAN. The goal of this package is to cover the,search_seed
19,7163079427961090049,https://www.linkedin.com/posts/andrija-djurovic_i-have-created-a-github-repository-dedicated-activity-7163079427961090049-iXzW,,Andrija Djurovic,"I have created a GitHub repository dedicated to my upcoming book 📕 𝐀𝐩𝐩𝐥𝐢𝐞𝐝 𝐃𝐚𝐭𝐚 𝐒𝐜𝐢𝐞𝐧𝐜𝐞 𝐟𝐨𝐫 𝐂𝐫𝐞𝐝𝐢𝐭 𝐑𝐢𝐬𝐤, but also to other topics related to credit risk modeling. I'll regularly up",Media,Tooling and reproducible credit-risk packages,Paquetes/repos de credito; leer para ideas implementables y separarlos de evidencia academica.,"Repositorio intelectual, MLOps/gobernanza; no promover como evidencia peer-reviewed.",external_links,https://github.com/andrija-djurovic/adsfcr,"I have created a GitHub repository dedicated to my upcoming book 📕 𝐀𝐩𝐩𝐥𝐢𝐞𝐝 𝐃𝐚𝐭𝐚 𝐒𝐜𝐢𝐞𝐧𝐜𝐞 𝐟𝐨𝐫 𝐂𝐫𝐞𝐝𝐢𝐭 𝐑𝐢𝐬𝐤, but also to other topics related",search_seed
20,7342064984069173248,https://www.linkedin.com/posts/andrija-djurovic_our-paper-drifts-shifts-and-instabilities-activity-7342064984069173248-DTrS,,Andrija Djurovic,"Our paper, “Drifts, Shifts and Instabilities to Quantify Scorecard Model Risk,” co-authored with Alan Forrest, has been accepted for presentation at the Credit Scoring and Credit C",Alta,"WOE, binning and scorecard stability","Material de binning/WOE/scorecards; util para estabilidad, interpretabilidad y caveats de scorecards.",Libro Ch05-Ch06; Paper 4 solo como apendice/prototipo acotado.,linkedin_image_or_carousel,https://abbey.eventsair.com/cscc-conference-2025?utm_source=organic%20social&utm_medium=Linkedin&utm_campaign=CRC%20conference%20LinkedIn&utm_content=Instagram%20bio%20link | https://github.com/andrija-djurovic/adsfcr/blob/main/mrm%2Fms_mrm.pdf | https://www.crc.business-school.ed.ac.uk/sites/crc/files/2024-06/model-shift-prospectus_0.pdf | https://www.crc.business-school.ed.ac.uk/conference-2025/fees | https://crc.business-school.ed.ac.uk/conference-2025,"Our paper, “Drifts, Shifts and Instabilities to Quantify Scorecard Model Risk,” co-authored with Alan Forrest, has been accepted for presentation at the Credit Scoring",search_seed
21,7296422990588579840,https://www.linkedin.com/posts/andrija-djurovic_woeencodinginstability-activity-7296422990588579840-7lwj,,Andrija Djurovic,𝐓𝐡𝐞 𝐈𝐧𝐬𝐭𝐚𝐛𝐢𝐥𝐢𝐭𝐲 𝐨𝐟 𝐖𝐨𝐄 𝐄𝐧𝐜𝐨𝐝𝐢𝐧𝐠 𝐢𝐧 𝐏𝐃 𝐌𝐨𝐝𝐞𝐥𝐢𝐧𝐠,Alta,PD backtesting and validation,"Post sobre validacion/backtesting de PD; revisar si refuerza la capa de materialidad, z-score, binomial exacto o pruebas multi-periodo.",Paper CRPTO / libro Ch06-Ch10; Paper 4 si cambia una tabla de validacion o una respuesta a revisores.,linkedin_document_deck,https://github.com/andrija-djurovic/adsfcr,𝐓𝐡𝐞 𝐈𝐧𝐬𝐭𝐚𝐛𝐢𝐥𝐢𝐭𝐲 𝐨𝐟 𝐖𝐨𝐄 𝐄𝐧𝐜𝐨𝐝𝐢𝐧𝐠 𝐢𝐧 𝐏𝐃 𝐌𝐨𝐝𝐞𝐥𝐢𝐧𝐠 Binomial logistic regression with categorized risk factors is the most common approach for modeling Probability of,search_seed
