backlog_id,source_kind,activity_id,post_url,title,capture_status,attachment_summary,external_source_summary,topic_family,key_takeaway_es,possible_executable_or_implementable,project_destination,handling_decision,stop_condition,closure_status,claim_use_rule,notes
ANDRIJA-POST-011,indexed_andrija_post,7462756612538073090,https://www.linkedin.com/posts/andrija-djurovic_activity-7462756612538073090--Doz,LinkedIn post,public_capture_generic_linkedin_text,No visible attachment captured.,No high-value external source captured.,Blocked public LinkedIn post,La captura publica devolvio texto generico de LinkedIn; no hay contenido tecnico verificable.,"Ninguno; reabrir solo con permalink legible, captura logueada o fuente canonica externa.",Archive.,archive_blocked,Cerrado por blocker publico documentado; no inferir contenido desde snippets.,closed_blocked_public_capture,No usar en claims.,Bloqueado sin sesion visible desde Linux.
ANDRIJA-POST-012,indexed_andrija_post,6965364290866282496,https://fr.linkedin.com/posts/andrija-djurovic_python-r-rstats-activity-6965364290866282496-JXRW,I've built and publish for testing python monobinpy package.,external_github_readme_read,asset_types=external_link:2|linkedin_post_text_only:1; asset_statuses=pending_external_source_review:2|post_text_captured_no_media_found:1,readable_sources=1; source_types=github:1; reading_statuses=readable_http_200:1,Monotonic binning tooling for PD/LGD/EAD,"monobinpy replica en Python la logica de monotonic binning para factores numericos en modelos PD, LGD y EAD.",Usar como tooling/source-discovery para comparar principios de binning monotono; no adoptar dependencia ni claim de performance sin benchmark local.,Libro Ch05; tesis feature-engineering; archive/tooling context.,archive_tooling_context,"Cerrado cuando el README de monobinpy quede leido y la idea se clasifique como tooling, no como evidencia del champion.",closed,Software externo es contexto tecnico; no evidencia publica de rendimiento CRPTO.,Post antiguo recuperado por busqueda web adicional.
ANDRIJA-POST-013,indexed_andrija_post,7392821942728273920,https://www.linkedin.com/posts/andrija-djurovic_%F0%9D%90%88%F0%9D%90%85%F0%9D%90%91%F0%9D%90%92%F0%9D%9F%97-%F0%9D%90%85%F0%9D%90%A8%F0%9D%90%AB%F0%9D%90%B0%F0%9D%90%9A%F0%9D%90%AB%F0%9D%90%9D-%F0%9D%90%8B%F0%9D%90%A8%F0%9D%90%A8%F0%9D%90%A4%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%A0-activity-7392821942728273920-sYiG,𝐈𝐅𝐑𝐒𝟗 𝐅𝐨𝐫𝐰𝐚𝐫𝐝-𝐋𝐨𝐨𝐤𝐢𝐧𝐠 𝐌𝐨𝐝𝐞𝐥𝐢𝐧𝐠,external_pdfs_read,asset_types=external_link:10|linkedin_post_text_only:1; asset_statuses=pending_external_source_review:10|post_text_captured_no_media_found:1,readable_sources=10; source_types=github:10; reading_statuses=pdf_text_extracted_pdftotext:10,IFRS9 forward-looking modeling source bundle,"Bundle IFRS9 con PCA, ADF power, OLS importance, dynamic/recursive regressions, Vasicek transition/Z-factor y LGD-as-function-of-DR.","Usar como mapa de tesis IFRS9; solo importar a CRPTO como limitacion o agenda, no como segunda contribucion.",Tesis; CRPTO limitations; docs research.,append_to_thesis_lane,Parar cuando cada PDF externo tenga status local y destino; no crear experimentos IFRS9 sin claim nuevo aprobado.,closed,Contexto tecnico/source discovery; evidencia publica exige fuentes independientes.,Diez PDFs externos extraidos.
ANDRIJA-POST-014,indexed_andrija_post,7435946096050339840,https://www.linkedin.com/posts/andrija-djurovic_modelbasedpdratingscalecalibration-activity-7435946096050339840-VDj7,𝗔 𝗠𝗼𝗱𝗲𝗹-𝗕𝗮𝘀𝗲𝗱 𝗔𝗽𝗽𝗿𝗼𝗮𝗰𝗵 𝘁𝗼 𝗗𝗶𝘀𝗰𝗿𝗲𝘁𝗲 𝗣𝗗 𝗥𝗮𝘁𝗶𝗻𝗴 𝗦𝗰𝗮𝗹𝗲 𝗖𝗮𝗹𝗶𝗯𝗿𝗮𝘁𝗶𝗼𝗻 - 𝗟𝗼𝗴𝗶𝘀𝘁𝗶𝗰 𝗥𝗲𝗴𝗿𝗲𝘀𝘀𝗶𝗼𝗻 𝗜𝗻𝘁𝗲𝗿𝗰𝗲𝗽𝘁 𝗢𝗽𝘁𝗶𝗺𝗶𝘇𝗮𝘁𝗶𝗼𝗻,linkedin_deck_pdf_extracted,asset_types=linkedin_document_pdf:1|linkedin_document_transcript:1; asset_statuses=pdf_text_extracted_pdftotext:1|transcript_captured:1,No high-value external source captured.,Model-based discrete PD rating scale calibration,Optimizar intercepto logistico con offset de log-odds puede preservar el vinculo entre score raw y PD calibrada por grados.,Prototipo appendix: comparar calibracion discreta model-based contra calibracion actual solo si mejora explicacion o diagnostico de PD.,Paper CRPTO reviewer-defense; Paper 4 candidate; tesis calibration.,promote_to_defense_and_park_prototype,"Parar si no cambia calibracion, tabla de appendix o respuesta de reviewer; no reabrir champion.",closed,Necesita reproducibilidad local antes de afirmacion fuerte.,Deck PDF local extraido.
ANDRIJA-POST-015,indexed_andrija_post,7330472362141761538,https://www.linkedin.com/posts/andrija-djurovic_%F0%9D%90%91-%F0%9D%90%88%F0%9D%90%91%F0%9D%90%81-%F0%9D%90%AD%F0%9D%90%A8%F0%9D%90%A8%F0%9D%90%A5%F0%9D%90%A4%F0%9D%90%A2%F0%9D%90%AD-my-r-irb-toolkit-activity-7330472362141761538-5UJ8,𝐑 𝐈𝐑𝐁 𝐭𝐨𝐨𝐥𝐤𝐢𝐭,external_github_readme_read,asset_types=external_link:1|linkedin_post_text_only:1; asset_statuses=pending_external_source_review:1|post_text_captured_no_media_found:1,readable_sources=1; source_types=github:1; reading_statuses=readable_http_200:1,R IRB toolkit,"Inventario de herramientas R para binning, PD/LGD validation y scorecard workflows.",No adoptar dependencia; usar solo como orientacion de funcionalidades que el proyecto ya cubre o podria comparar.,Archive/tooling context; tesis appendix if needed.,archive_tooling_context,Cerrado al registrar que no hay dependencia nueva ni claim que cambie.,closed,Software externo no es evidencia de performance del proyecto.,PDtoolkit/monobin/LGDtoolkit son contexto de ecosistema.
ANDRIJA-POST-016,indexed_andrija_post,7112329977517215745,https://www.linkedin.com/posts/andrija-djurovic_probability-of-default-rating-modeling-with-activity-7112329977517215745-eeri,📕 𝙋𝙧𝙤𝙗𝙖𝙗𝙞𝙡𝙞𝙩𝙮 𝙤𝙛 𝘿𝙚𝙛𝙖𝙪𝙡𝙩 𝙍𝙖𝙩𝙞𝙣𝙜 𝙈𝙤𝙙𝙚𝙡𝙞𝙣𝙜 𝙬𝙞𝙩𝙝 𝙍,linkedin_post_text_only_public,asset_types=external_link:1|linkedin_post_text_only:1; asset_statuses=pending_external_source_review:1|post_text_captured_no_media_found:1,No high-value external source captured.,Probability of Default Rating Modeling with R book release,"El post apunta a temas valiosos: binning monotono/U-shape, ranking uncertainty, MoC, ML soporte y calibration.",Usar como source-discovery; no citar el post como evidencia; revisar libro/fuentes formales si se requiere.,Tesis source-discovery; archive.,archive_source_discovery,Cerrado cuando los temas queden en atlas y no se promocionen sin fuente formal.,closed,No usar como evidencia bibliografica publica.,Book/commercial context.
ANDRIJA-POST-017,indexed_andrija_post,7420725800745754625,https://www.linkedin.com/posts/andrija-djurovic_creditrisk-irb-ifrs9-activity-7420725800745754625-CRhr,𝗦𝗲𝗰𝗼𝗻𝗱 𝗨𝗽𝗱𝗮𝘁𝗲 𝗼𝗳 𝘁𝗵𝗲 𝗖𝗿𝗲𝗱𝗶𝘁 𝗥𝗶𝘀𝗸 𝗠𝗼𝗱𝗲𝗹𝗶𝗻𝗴 𝗪𝗼𝗿𝗸𝗶𝗻𝗴 𝗡𝗼𝘁𝗲𝘀,external_pdfs_read_plus_image_manual_read,asset_types=external_link:11|linkedin_feedshare_image:1|linkedin_image_carousel:1; asset_statuses=image_ocr_attempted:2|pending_external_source_review:11,readable_sources=10; source_types=github:10; reading_statuses=pdf_text_extracted_pdftotext:9|readable_http_200:1,Credit Risk Modeling Working Notes second update,"Bundle con dynamic regression, constrained threshold LR, heterogeneity p-values, WoE importance, LGD survival, recursive regression y PoC calibration.",Cruzar con lanes ya implementados y tesis; no abrir nueva linea salvo claim/test reproducible.,Tesis; docs research; CRPTO limitations.,append_as_source_map,Cerrado cuando links externos esten leidos y la imagen quede marcada como contexto visual.,closed,Los PDFs son contexto tecnico; imagen solo confirma material del post.,Imagen leida manualmente; no contenia claim tecnico adicional.
ANDRIJA-POST-018,indexed_andrija_post,6886388764965392384,https://www.linkedin.com/posts/andrija-djurovic_github-andrija-djurovicpdtoolkit-collection-activity-6886388764965392384-fZDY,I am happy to announce that my new package PDtoolkit is now available on CRAN.,external_github_readme_read,asset_types=external_link:2|linkedin_post_text_only:1; asset_statuses=pending_external_source_review:2|post_text_captured_no_media_found:1,readable_sources=1; source_types=github:1; reading_statuses=readable_http_200:1,PDtoolkit package,"PDtoolkit agrupa binning, WoE, IV, calibration, validation, heterogeneity y Monte Carlo power para PD.",No adoptar R package; usar como checklist comparativo de funcionalidades.,Archive/tooling context; thesis appendix.,archive_tooling_context,Cerrado cuando README local quede leido y no haya dependency adoption.,closed,Software/contexto; no evidence claim sin benchmark.,README externo capturado.
ANDRIJA-POST-019,indexed_andrija_post,7163079427961090049,https://www.linkedin.com/posts/andrija-djurovic_i-have-created-a-github-repository-dedicated-activity-7163079427961090049-iXzW,"I have created a GitHub repository dedicated to my upcoming book 📕 𝐀𝐩𝐩𝐥𝐢𝐞𝐝 𝐃𝐚𝐭𝐚 𝐒𝐜𝐢𝐞𝐧𝐜𝐞 𝐟𝐨𝐫 𝐂𝐫𝐞𝐝𝐢𝐭 𝐑𝐢𝐬𝐤, but also to other topics related to credit risk modeling. I'll regularly up",external_github_readme_read,asset_types=external_link:1|linkedin_post_text_only:1; asset_statuses=pending_external_source_review:1|post_text_captured_no_media_found:1,readable_sources=1; source_types=github:1; reading_statuses=readable_http_200:1,ADSFCR repository source anchor,Post inicial del repositorio ADSFCR; importante como ancla de procedencia.,Mantener como fuente de trazabilidad hacia el repo; no implementa nada por si solo.,Archive/source trace.,archive_source_trace,Cerrado cuando el repo ADSFCR quede leido y ya exista audit/backlog local.,closed,No usar el post como claim.,ADSFCR ya tiene auditorias locales.
ANDRIJA-POST-020,indexed_andrija_post,7342064984069173248,https://www.linkedin.com/posts/andrija-djurovic_our-paper-drifts-shifts-and-instabilities-activity-7342064984069173248-DTrS,"Our paper, “Drifts, Shifts and Instabilities to Quantify Scorecard Model Risk,” co-authored with Alan Forrest, has been accepted for presentation at the Credit Scoring and Credit C",external_pdf_read_plus_image_manual_read,asset_types=external_link:5|linkedin_feedshare_image:1|linkedin_image_carousel:1; asset_statuses=image_ocr_attempted:2|pending_external_source_review:5,readable_sources=2; source_types=github:1|pdf:1; reading_statuses=pdf_text_extracted_pdftotext:2,Model shift and scorecard model risk,Model shift trata perturbaciones/drifts de inputs como sensibilidad de parametros/output y herramienta MRM para scorecards.,Agregar a reviewer-defense/tesis como marco de model risk y drift; no cambiar champion.,Tesis MRM; CRPTO limitations; Paper 4 governance.,promote_to_thesis_and_defense,Cerrado cuando paper/prospectus esten leidos y la imagen de programa quede marcada como confirmatoria.,closed,Buscar/citar fuente formal si se usa en texto publico.,Imagen de conferencia leida; PDF/prospectus extraidos.
ANDRIJA-POST-021,indexed_andrija_post,7296422990588579840,https://www.linkedin.com/posts/andrija-djurovic_woeencodinginstability-activity-7296422990588579840-7lwj,𝐓𝐡𝐞 𝐈𝐧𝐬𝐭𝐚𝐛𝐢𝐥𝐢𝐭𝐲 𝐨𝐟 𝐖𝐨𝐄 𝐄𝐧𝐜𝐨𝐝𝐢𝐧𝐠 𝐢𝐧 𝐏𝐃 𝐌𝐨𝐝𝐞𝐥𝐢𝐧𝐠,linkedin_deck_pdf_extracted_plus_external_pdf_read,asset_types=external_link:1|linkedin_document_pdf:1|linkedin_document_transcript:1; asset_statuses=pdf_text_extracted_pdftotext:1|pending_external_source_review:1|transcript_captured:1,readable_sources=1; source_types=github:1; reading_statuses=readable_http_200:1,WoE encoding instability,Recalcular WoE sobre datos etiquetados por prediccion puede impedir replicacion exacta y revelar riesgo de preprocessing bajo drift/self-labeling.,Incorporar como caveat de encoding stability y posible appendix Paper 4 si cambia monitoring claim.,Mini libro CRPTO; Paper 4 candidate; tesis feature governance.,promote_to_crpto_caveat,Cerrado cuando el caveat quede documentado y no se use para reemplazar el pipeline actual.,closed,Usar con fuente formal o experimento propio si se vuelve claim fuerte.,Deck PDF local extraido.
